season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club
1994,SEA,DL,DE,98,ACT,Sam Adams,Samuel,Adams,1973-06-13,75,285,,00-0000065,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pqwbc18lkp6evgok8768",ADA571656,,32004144-4157-1656-c9b5-9681a9711d63,,,
1994,NO,OL,OT,0,ACT,Scott Adams,Scott,Adams,1966-09-28,77,293,,00-0000066,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yjbhmufjtd7bhwmbe0xv",ADA584320,,32004144-4158-4320-c6af-918649831c94,,,
1994,ATL,DL,DE,0,ACT,Mel Agee,Melvin,Agee,1968-11-22,77,298,,00-0000094,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cr5zavujkfeeiugacxyz",AGE264111,,32004147-4526-4111-83a9-b4d4e18d084f,,,
1994,DAL,RB,RB,0,ACT,Tommie Agee,Thomas,Agee,1964-02-22,72,235,,00-0000096,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/la6jp0ftakejeacqrdxw",AGE553722,,32004147-4555-3722-2601-c9c708c6cdae,,,
1994,NE,DL,NT,0,ACT,Ray Agnew,Raymond,Agnew,1967-12-09,75,272,,00-0000097,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bbm1kkik4ekmarc4mbzv",AGN415291,,32004147-4e41-5291-430e-75c93015e018,,,
1994,KC,SPEC,P,0,ACT,Louie Aguiar,Louis,Aguiar,1966-06-30,74,215,,00-0000098,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qqkgkzrfwttuy0ab8e6f",AGU401791,,32004147-5540-1791-3e41-c35f15fac6e5,,,
1994,TB,DL,DE,0,ACT,Chidi Ahanotu,Chidi,Ahanotu,1970-10-11,74,280,,00-0000100,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/thwne3sb40hjqqzt4zb6",AHA444955,,32004148-4144-4955-af48-b12bdd5df580,,,
1994,DAL,QB,QB,8,ACT,Troy Aikman,Troy,Aikman,1966-11-21,76,228,,00-0000104,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/skagdrvhtf6ywlxwlrou",AIK553722,,32004149-4b55-3722-44ec-125524ad4078,,,
1994,IND,LB,LB,0,ACT,Trev Alberts,Trev,Alberts,1970-08-08,76,243,,00-0000119,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/v8pff4cjfyueif0t5k6e",ALB427290,,3200414c-4242-7290-f54d-6d6699161ca3,,,
1994,DEN,LB,LB,0,ACT,Allen Aldridge,Allen,Aldridge,1972-05-30,73,245,,00-0000129,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kjcyugvjpsg5ibggtf8p",ALD410038,,3200414c-4441-0038-7402-f94793534c4f,,,
